Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Unemployment Rate,2010,14.7,%,100,"In addition, the increase in public sector hiring  and salaries in response to high unemployment and social tensions has led to a sharp rise of  the public wage bill from 10.7 percent of GDP in 2010 to 14.7 percent of GDP in 2017, which  now represents more than 60 percent of tax revenues.",14.7 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Current Account Balance,2017,2018.0,,85,"The large current account deficit, along with depressed FDI and the  large Central Bank interventions in the foreign exchange market, have led to a rapid fall in  gross international reserves, which dropped to 3.1 months of import by end-2017 and stood  on average at 75 days in mid-May 2018.","2,018",pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Public Administration,2010,25.0,%,100,"Since 2010, the Government has  significantly expanded the coverage of SSN programs and the value of cash transfers: between  2010 and 2017, the number of beneficiaries rose from 108,000 to 242,000 households and  cash transfers rose from TND 75 per household every quarter to TND 150 per household per  month (equivalent to 25 percent of poverty threshold).",25.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Inflation,2018,20.0,%,100,"Further, in January 2018, in the context  of establishing the national social protection floor and rising inflation, the Government  announced that cash transfer amounts would be increased by another 20 percent (effective  April 2018) to support the purchasing power of poor and low-income households.",20.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2018,7.7,%,100,"Inflation has accelerated to 7.7 percent (year-on-year) in April 2018, from  6.4 percent in December 2017 and 4.2 percent in December 2016, driven by depreciation of  the dinar, administered energy price increases, VAT increases and credit to households.",7.7 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Households (housing),2018,6.4,%,100,"Inflation has accelerated to 7.7 percent (year-on-year) in April 2018, from  6.4 percent in December 2017 and 4.2 percent in December 2016, driven by depreciation of  the dinar, administered energy price increases, VAT increases and credit to households.",6.4 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Households (housing),Households,Households (housing),Households (housing),,,
Inflation,2018,4.2,%,100,"Inflation has accelerated to 7.7 percent (year-on-year) in April 2018, from  6.4 percent in December 2017 and 4.2 percent in December 2016, driven by depreciation of  the dinar, administered energy price increases, VAT increases and credit to households.",4.2 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Current Account Balance,2012,5.7,%,100,The fiscal  deficit (including grants) averaged 5.7 percent of GDP in 2012-16.,5.7 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Government Budget Balance (% Of Gdp),2017,6.1,%,100,"It reached 6.1 percent of  GDP in 2017, 1 percentage point of GDP above the initial 2017 Budget, due mainly to higher  wage bill and energy subsidy spending.",6.1 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Government Budget Balance (% Of Gdp),National Accounts,Government Budget Balance (% Of Gdp),Government Budget Balance (% Of Gdp),,,
Gross Domestic Product (gdp) At Market Prices,2017,1.0,%,100,"It reached 6.1 percent of  GDP in 2017, 1 percentage point of GDP above the initial 2017 Budget, due mainly to higher  wage bill and energy subsidy spending.",1.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Debt (% Of Gdp),2017,71.0,%,100,"Consequently, public debt reached 71 percent of GDP  in 2017 compared to 40 percent of GDP in 2010.    15.",71.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Current Account Balance,2018,5.2,%,100,"In 2018, the Government aims to keep the deficit at around 5.2 percent  of GDP (IMF EFF program) through higher tax revenues (yield close to 2 percent of GDP)1;                                                              1",5.2 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
National Income,2018,0.8,%,100,"The 2018 Budget introduced the following key measures: (a) increase in excise taxes for alcohol, cars and tobacco  (expected yield: 0.8 percent of GDP according to IMF staff calculations); (b) increase of the two main VAT rates  (18 percent and 6 percent) by 1 percentage point (expected yield: 0.6 percent of GDP); and (c) introduction of a  solidarity contribution of one percent on income (expected yield: 0.3 percent of GDP).",0.8 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,National Income,National Accounts,National Income,National Income,,,
Public Administration,2018,18.0,%,100,"The 2018 Budget introduced the following key measures: (a) increase in excise taxes for alcohol, cars and tobacco  (expected yield: 0.8 percent of GDP according to IMF staff calculations); (b) increase of the two main VAT rates  (18 percent and 6 percent) by 1 percentage point (expected yield: 0.6 percent of GDP); and (c) introduction of a  solidarity contribution of one percent on income (expected yield: 0.3 percent of GDP).",18.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2018,6.0,%,100,"The 2018 Budget introduced the following key measures: (a) increase in excise taxes for alcohol, cars and tobacco  (expected yield: 0.8 percent of GDP according to IMF staff calculations); (b) increase of the two main VAT rates  (18 percent and 6 percent) by 1 percentage point (expected yield: 0.6 percent of GDP); and (c) introduction of a  solidarity contribution of one percent on income (expected yield: 0.3 percent of GDP).",6.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2018,0.2,%,100,Electricity and gas tariff adjustments in 2018 (see  section 4.2) will generate fiscal savings amounting to TND 213 million (0.2 percent of GDP).,0.2 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Financial Institutions,2016,14.0,%,100,"The exposure to credit risk from guarantees, on-lending, and Treasury  loans to SOEs and public financial institutions amounted to around 14 percent of GDP in  2016.",14.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Financial Institutions,Other,Financial Institutions,Financial Institutions,,,
Current Account Balance,2016,1.5,%,100,"The 20 largest SOEs (excluding social security) had a total net loss of TND  1.3 billion in 2016 (1.5 percent of GDP), of which the 5 largest lossmakers were the Tunisian  Gas and Electricity Company (Société Tunisienne d’Electricité et de Gaz, STEG) with 26  Figure 3:  Fiscal Deficit and Public Debt              (in percent of GDP, deficit excl.",1.5 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Current Account Balance,2017,10.1,%,100,"The current account has deteriorated to 10.1  percent of GDP in 2017, compared to 8.8 percent of GDP in 2016, with the trade deficit  standing at 13.3 percent of GDP in 2017 compared to 11 percent in 2016.",10.1 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Gross Domestic Product (gdp) At Market Prices,2017,1.8,%,100,"This situation,  combined with depressed FDI (1.8 percent of GDP in 2017 against 4 percent, on average, in  2008-2010) and the large Central Bank interventions in the forex market, has led to a sustained  loss of international reserves, which dropped to an average of 75 days of import cover in mid- May 2018.",1.8 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Merchandise Exports (current Usd),2018,2.4,%,100,"Based on the above, the updated 2018 economic forecasts are based on a growth rate of  2.4% in 2018, mainly thanks to a positive contribution of exports and investment.",2.4 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Final Consumption,2017,106.0,%,100,"Monetary policy tightening will contribute to containing domestic  credit growth, which reached 106 percent of GDP in 2017, of which 80 percent was for firms  and households.3 Fiscal tightening will also slow down public and household consumption  and should be combined with actions to enhance the efficiency, inclusiveness and growth                                                              3 Industry accounted for 27.5 percent of loans amounting to 22 percent of GDP; households for 26.4 percent; and  commerce for 16 percent of loans amounting to 8.5 percent of GDP.",106 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Final Consumption,Expenditure,Final Consumption,Final Consumption,,,
Households (housing),2017,80.0,%,100,"Monetary policy tightening will contribute to containing domestic  credit growth, which reached 106 percent of GDP in 2017, of which 80 percent was for firms  and households.3 Fiscal tightening will also slow down public and household consumption  and should be combined with actions to enhance the efficiency, inclusiveness and growth                                                              3 Industry accounted for 27.5 percent of loans amounting to 22 percent of GDP; households for 26.4 percent; and  commerce for 16 percent of loans amounting to 8.5 percent of GDP.",80.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Households (housing),Households,Households (housing),Households (housing),,,
Final Consumption (% Of Gdp),2017,27.5,%,100,"Monetary policy tightening will contribute to containing domestic  credit growth, which reached 106 percent of GDP in 2017, of which 80 percent was for firms  and households.3 Fiscal tightening will also slow down public and household consumption  and should be combined with actions to enhance the efficiency, inclusiveness and growth                                                              3 Industry accounted for 27.5 percent of loans amounting to 22 percent of GDP; households for 26.4 percent; and  commerce for 16 percent of loans amounting to 8.5 percent of GDP.",27.5 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Final Consumption (% Of Gdp),National Accounts,Final Consumption (% Of Gdp),Final Consumption (% Of Gdp),,,
Final Consumption,2017,22.0,%,100,"Monetary policy tightening will contribute to containing domestic  credit growth, which reached 106 percent of GDP in 2017, of which 80 percent was for firms  and households.3 Fiscal tightening will also slow down public and household consumption  and should be combined with actions to enhance the efficiency, inclusiveness and growth                                                              3 Industry accounted for 27.5 percent of loans amounting to 22 percent of GDP; households for 26.4 percent; and  commerce for 16 percent of loans amounting to 8.5 percent of GDP.",22.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Final Consumption,Expenditure,Final Consumption,Final Consumption,,,
Gross Domestic Product (gdp) At Market Prices,2017,26.4,%,100,"Monetary policy tightening will contribute to containing domestic  credit growth, which reached 106 percent of GDP in 2017, of which 80 percent was for firms  and households.3 Fiscal tightening will also slow down public and household consumption  and should be combined with actions to enhance the efficiency, inclusiveness and growth                                                              3 Industry accounted for 27.5 percent of loans amounting to 22 percent of GDP; households for 26.4 percent; and  commerce for 16 percent of loans amounting to 8.5 percent of GDP.",26.4 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Inflation,2018,7.0,%,100,"It is  projected that inflation in 2018 will average 7 percent under implementation of the  Government’s planned fiscal, monetary and exchange rate policies.",7.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2021,4.0,%,100,"In the medium term,  inflation is then forecast to slow to around 4 percent by 2021 on the back of fiscal adjustment,  lower credit growth, and the dinar’s adjustment to the level associated with economic  fundamentals.",4.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Merchandise Imports (current Usd),2017,2018.0,,85,"Gross reserves are forecast to gradually grow from 3.1 months of imports in 2017  to 3.4 months in 2018 and an average of 3.7 months in 2019-22, aided by reduced foreign  2015 2016 2017 2018 2019 2020 2021 (Prel.)","2,018",pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Public Debt (% Of Gdp),2017,71.3,%,100,"Public debt has risen steadily in the post-Revolution period, reaching 71.3  percent of GDP in 2017, up from 40 percent in 2010, and is now above the debt burden  benchmark for emerging markets.",71.3 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Gross Domestic Product (gdp) At Market Prices,2017,80.0,%,100,"In parallel, external debt has increased to 80 percent of  GDP in 2017 from 48 percent of GDP in 2010.",80.0 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2018,2019.0,,85,50 100 150 200 250 300 350 400 2018 2019 2020 2021 2022 Gross Nominal Public Debt (in percent of Revenue) 0 2 4 6 8 10 12 2018 2019 2020 2021 2022 Public Gross Financing Needs (in percent of GDP) 81    Figure 3.,"2,019",pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2019,85.5,%,100,"In the same scenario, external debt would peak at 85.5 percent of GDP in 2019 and  decline slowly to 81 percent of GDP by 2022.",85.5 %,pd-tunisia-ici-dpf-board-package-052518-fin-06052018.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
